flow_stage,asset,trust_boundary,evidence_class,required_evidence,stride_categories,linked_threat_ids,mitigation_family
"HDL/IP Input","HDL source files; third-party IP cores; HLS source; IP metadata","External IP/vendor/repository to project workspace","Identity; Integrity; Derivation","IP provider identity; source repository URL or package origin; version; license; cryptographic digest; review approval; dependency manifest","Spoofing; Tampering; Information Disclosure","SIP-1; SIP-2; SIP-3","IP provenance review; signed source releases; access control; dependency manifest; confidential IP handling"
"Constraint and Configuration","Timing constraints; pin constraints; physical constraints; synthesis/implementation options","Designer/reviewer to tool invocation boundary","Integrity; Authorization; Configuration","Constraint file digest; reviewer approval; change rationale; tool option snapshot; target device identifier; clock/pin ownership record","Tampering; Denial of Service","CFG-1; CFG-2; CFG-3","Change control; constraint review; protected configuration baselines; timing-closure guardrails"
"Simulation","Test benches; simulation scripts; simulation outputs; waveform/report artifacts","Design model to verification evidence boundary","Integrity; Derivation; Confidentiality","Test bench version; simulation command line; simulator version; input vector digest; result/report digest; waveform/log digest; reviewer note","Tampering; Repudiation; Information Disclosure","SIM-1; SIM-2; RPT-2","Verification provenance; simulation-result integrity; waveform/log classification; result-to-source linkage"
"Synthesis","RTL-to-netlist output; synthesis logs; generated netlist; checkpoint","Tool transformation boundary","Derivation; Integrity; Configuration","Tool version; synthesis options; source digest set; generated netlist digest; synthesis log digest; reproducible command manifest","Tampering; Repudiation; Denial of Service","CFG-2; TRN-1; RPT-2","Transformation manifest; reproducible build recipe; protected intermediate artifacts"
"Placement and Routing","Implementation checkpoint; placement/routing database; seed/options; routed netlist","Tool transformation and optimization boundary","Derivation; Integrity; Configuration","Implementation seed/options; checkpoint digest; device/resource target; route database digest; timing constraint linkage","Tampering; Denial of Service; Repudiation","TRN-2; TRN-3; RPT-2","Checkpoint integrity; configuration baselining; build-resource monitoring"
"Tool Environment and Version State","EDA executable; plugin; Tcl package; IP generator; build container; license state; tool/IP version state","Toolchain environment to artifact transformation run","Identity; Integrity; Configuration; Availability; Derivation","Tool/image digest; installation manifest; plugin/package digest; runner provenance; license file/server record; license report; tool version; IP status or upgrade log; update/interim-update state","Spoofing; Tampering; Repudiation; Denial of Service","TENV-1; TENV-2; TENV-3; CFG-2; RPT-2","Pinned tool environment; plugin allowlist; license-state provenance; version/update attestation; runner provenance"
"Report Generation","Timing reports; utilization reports; DRC/CDC/security review reports","Tool output to human decision boundary","Integrity; Repudiation; Confidentiality","Report generator version; command manifest; report digest; timestamp; signer or CI identity; linkage to source/netlist/bitstream digest","Tampering; Repudiation; Information Disclosure","RPT-1; RPT-2; RPT-3","Signed reports; immutable logs; protected report repository; review workflow"
"Bitstream Generation","Full or partial bitstream; metadata; encryption/signing material; bitstream manifest","Implementation artifact to deployable configuration boundary","Integrity; Identity; Authorization; Confidentiality","Bitstream digest; source/checkpoint lineage; signing identity; key-handling record; encryption/signature status; release approval","Spoofing; Tampering; Information Disclosure; Elevation of Privilege","BSD-1; BSD-2; BSD-3","Bitstream signing; key separation; artifact repository controls; release authorization"
"Programming and Deployment","Programming target; programmer identity; deployed bitstream; deployment log; readback/status/debug evidence","Build/release system to physical or remote programming target boundary","Identity; Authorization; Deployment; Accountability; Confidentiality","Programming target identity; operator/CI identity; bitstream digest; device serial or logical target; timestamp; deployment log; rollback record; readback/status log; verify command; debug capture digest","Spoofing; Tampering; Repudiation; Information Disclosure; Elevation of Privilege; Denial of Service","BSD-1; BSD-3; BSD-4; DEP-1; RPT-2","Target authentication; least-privilege programming; deployment logging; rollback controls; protected readback/status evidence"
"Release-Automation Artifact Management","Build manifest; release bundle; artifact repository; signing service; build logs","Developer/build-service/release authority boundary","Authorization; Release; Integrity; Derivation","Workflow identity; build runner identity; artifact digest set; release manifest; approval record; signing event; service-account identity; protected-environment record; provenance attestation","Repudiation; Elevation of Privilege; Tampering; Information Disclosure","REL-1; REL-2; RPT-2; SIP-3; BSD-3","SLSA-style provenance; in-toto layout; Sigstore-style signing where configured; protected artifact registry; separation of duties"
