"threat_id","stride","flow_stage","asset","required_evidence","mitigation_family","coverage_note"
"SIP-1","Spoofing","Source/IP","Third-party IP","Provider identity; package digest; signed release; IP intake review","Supplier/IP assurance","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
"SIP-2","Tampering","Source/IP","HDL or IP source","Source digest; review record; dependency/IP metadata manifest","Source integrity","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
"SIP-3","Information Disclosure","Source/IP","Proprietary HDL/IP","Access log; repository policy; export record","Confidentiality control","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
"SIM-1","Tampering/Repudiation","Simulation","Verification collateral","Testbench digest; simulation log; expected-result manifest","Verification evidence integrity","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
"SIM-2","Information Disclosure/Tampering","Simulation","Simulation results and waveform evidence","Result manifest; waveform/log digest; simulation command; access log","Simulation evidence confidentiality and integrity","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
"CFG-1","Tampering","Constraint/Configuration","Timing, pin, placement, or exception constraints","Constraint digest; change rationale; reviewer approval; exception/waiver record","Configuration governance","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
"CFG-2","Tampering","Constraint/Configuration","Tool options/scripts","Command manifest; option snapshot; tool version; security-option record","Build recipe integrity","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
"CFG-3","Denial of Service","Constraint/Configuration","Timing/resource objectives","Constraint history; build-resource log; failure record","Availability governance","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
"TENV-1","Spoofing/Tampering","Tool Environment","Tool binary, plugin, Tcl package, or build container","Tool/image digest; installation manifest; plugin/package digest; runner provenance; tool-version attestation","Toolchain environment provenance","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
"TENV-2","Repudiation/Denial of Service","Tool Environment","License state or license source","License file/server record; license report; feature log; build log","Tool/license provenance and availability","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
"TENV-3","Tampering/Repudiation","Tool Environment","Tool/IP version or update state","Tool version; IP status or upgrade log; installation manifest; database-version record","Tool and IP version provenance","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
"TRN-1","Tampering","Transformation","Netlist/checkpoint","Input-output digest chain; synthesis log","Transformation integrity","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
"TRN-2","Tampering","Transformation","Implementation state","Seed/options manifest; checkpoint digest; route lineage","Implementation lineage","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
"TRN-3","Denial of Service","Transformation","Routing/implementation state","Build-resource log; options history; route failure record","Build availability control","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
"RPT-1","Tampering","Report","Signoff reports","Report digest; generator command; timestamp; exception/waiver record","Report integrity","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
"RPT-2","Repudiation","Report/Provenance","Build lineage","Source-to-bitstream digest chain; CI identity; tool/image identity; attestation","Provenance and auditability","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
"RPT-3","Information Disclosure","Report","Reports/logs","Report permissions; access logs; release classification","Report confidentiality","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
"BSD-1","Spoofing/Tampering","Bitstream","Bitstream or programming file","Bitstream digest; signature where configured; release manifest; programming log; rollback record","Bitstream identity","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
"BSD-2","Information Disclosure","Bitstream","Bitstream/key material","Key-handling record; access log; encryption status; debug metadata classification","Bitstream confidentiality","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
"BSD-3","Elevation of Privilege","Bitstream/Release","Signing/release authority","Signer identity; approval record; release manifest","Release authorization","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
"BSD-4","Spoofing/Elevation of Privilege","Programming","Programming target/deployment log","Target identity; programmer identity; programming log; rollback record","Programming authorization","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
"DEP-1","Tampering/Information Disclosure","Deployment/Debug","Programming readback/status/debug evidence","Readback/status log; verify command; debug capture digest; access log","Programming and debug evidence integrity/confidentiality","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
"REL-1","Repudiation","Release automation","Release manifest","Workflow identity; artifact digest set; tool identity; attestation","Release provenance","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
"REL-2","Elevation of Privilege","Release automation","Release pipeline","Release approval; signing event; service account identity; protected-environment record","Pipeline authorization","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope."
