basis,comparator,count_or_scope,evidence,how_it_selects_records,lesson_for_this_paper,selection_or_evaluation_basis,type,what_it_validates
Domain asset decomposition,,7 artifact families in refined vendor inventory summary.,"Seven artifact families: source/IP, simulation/verification, constraint/configuration, transformation state, report/signoff, bitstream/programming, CI/CD release provenance.",Only candidates tied to one of these artifact families can be retained.,,,current_paper_basis,
Tool baseline,,1114 refined artifact rows across two controlled designs.,"Vivado, Quartus Prime Pro, and Libero SoC generated artifacts plus vendor-documented flow vocabulary cited in the manuscript.",Retained records must map to native tool evidence or explicit project-level provenance evidence.,,,current_paper_basis,
Candidate filtering,,62 total candidates; 24 retained records.,excluded_generic_IT=8; excluded_no_evidence_requirement=2; excluded_physical_runtime=7; merged_duplicate=11; retained_distinct=18; rewritten_to_retained=16,"A candidate is retained only if it satisfies artifact, boundary, attacker capability, evidence, and mitigation criteria.",,,current_paper_basis,
Candidate-source diversity,,"Generic STRIDE, FPGA literature themes, FPGA flow prompts, observed artifact families, supply-chain prompts, and speculative prompts.",Artifact-provenance derivation=18; Generic STRIDE prompt=14; FPGA flow prompt=11; FPGA security literature theme=10; Supply-chain prompt=4; Observed artifact family=3; Speculative prompt=2,"Generic items are rewritten, duplicate low-level scenarios are merged, and physical/runtime or no-evidence candidates are excluded.",,,current_paper_basis,
Case validation,,Six controlled-revision runs expanded into twelve perturbation trace rows.,hdl_revision:AMD Vivado=traceable; hdl_revision:Intel Quartus Prime Pro=traceable; hdl_revision:Microchip Libero SoC=traceable; constraint_revision:AMD Vivado=traceable; constraint_revision:Intel Quartus Prime Pro=traceable; constraint_revision:Microchip Libero SoC=traceable,Controlled revisions check whether source and constraint changes produce traceable downstream evidence.,,,current_paper_basis,
,Stevens et al. 2018,,,,Make the validation object explicit; do not claim operational risk reduction without field data.,Enterprise threat-modeling deployment and operational logs.,comparator_pattern,"Adoption, perceived usefulness, mitigations, and operational outcomes."
,Tuma et al. 2019,,,,A method paper needs an explicit protocol and outcome unit even when it does not demonstrate attacks.,Industrial case-study comparison of threat-analysis procedures.,comparator_pattern,"Comparative productivity, prioritization, and scenario quality."
,Wuyts et al. 2014 / LINDDUN,,,,Do not claim analyst usefulness or completeness without participant data.,Multiple empirical studies over analysis tasks.,comparator_pattern,"Correctness, completeness, productivity, ease of use, and reliability."
,Xiong and Lagerstrom 2019,,,,"If using literature as a basis, state the coding scope and do not overclaim PRISMA-grade systematic review.",Structured literature-review corpus and coding.,comparator_pattern,Threat-modeling method categories and validation practices.
,Mauri et al. 2022,,,,A worked use case is valid when the claim is domain reinterpretation rather than effectiveness.,Domain asset decomposition and worked AI/ML use case.,comparator_pattern,Domain-specific STRIDE reinterpretation and mitigation mapping.
,Sassnick et al. 2024,,,,STRIDE adaptation alone is not novel; the FPGA artifact/provenance schema must carry novelty.,Review and classification of STRIDE-based domain methodologies.,comparator_pattern,How STRIDE is adapted across domains.
,Li et al. 2026 UsersFirst,,,,This paper cannot claim taxonomy effectiveness without human evaluation; use artifact-case validation instead.,With-taxonomy versus without-taxonomy controlled evaluation.,comparator_pattern,Taxonomy effect on relevant threats found by analysts.
,Space-domain MS-TMT 2026,,,,"Use an operational schema, explicit baseline, and case evidence; here the baseline is generic STRIDE and the cases are tool/release artifacts.","Tool specialization, incident/schema mapping, and baseline comparison.",comparator_pattern,Domain schema coverage against real incidents and a baseline tool.
