variant_id,vendor,design_id,perturbation_type,changed_artifact,affected_stage,changed_key_artifacts,total_key_artifacts,missing_key_artifacts,observed_evidence,mapped_threat_ids,audit_result
"hdl_revision","AMD Vivado","A","HDL revision","src\top.v","HDL/IP Input to downstream transformation","9","11","","run_status=ok; changed_key_artifacts=9/11; examples=src\top.v;results\vivado\top_synth.dcp;results\vivado\top_routed.dcp;results\vivado\top_synth_utilization.rpt;results\vivado\top_synth_timing_summary.rpt","SIP-2;TRN-1;RPT-2","traceable"
"hdl_revision","AMD Vivado","B","HDL revision","src\top_b.v","HDL/IP Input to downstream transformation","12","14","","run_status=ok; changed_key_artifacts=12/14; examples=src\top_b.v;results\vivado\top_b_synth.dcp;results\vivado\top_b_routed.dcp;results\vivado\top_b_synth_utilization.rpt;results\vivado\top_b_synth_timing_summary.rpt","SIP-2;TRN-1;RPT-2","traceable"
"hdl_revision","Intel Quartus Prime Pro","A","HDL revision","src\top.v","HDL/IP Input to downstream transformation","7","9","","run_status=ok; changed_key_artifacts=7/9; examples=src\top.v;results\quartus\project\top.qsf;results\quartus\project\output_files\top.syn.rpt;results\quartus\project\output_files\top.fit.rpt;results\quartus\project\output_files\top.sta.rpt","SIP-2;TRN-1;RPT-2","traceable"
"hdl_revision","Intel Quartus Prime Pro","B","HDL revision","src\top_b.v","HDL/IP Input to downstream transformation","6","9","results\quartus\project_b\output_files\top_b.sof","run_status=ok; changed_key_artifacts=6/9; examples=src\top_b.v;results\quartus\project_b\top_b.qsf;results\quartus\project_b\output_files\top_b.syn.rpt;results\quartus\project_b\output_files\top_b.fit.rpt;results\quartus\project_b\output_files\top_b.sta.rpt; missing=results\quartus\project_b\output_files\top_b.sof","SIP-2;TRN-1;RPT-2","traceable"
"hdl_revision","Microchip Libero SoC","A","HDL revision","src\top.v","HDL/IP Input to downstream transformation","10","12","","run_status=ok; changed_key_artifacts=10/12; examples=src\top.v;results\libero\project\synthesis\top_vm.sdc;results\libero\project\synthesis\synplify.log;results\libero\project\designer\top\place_route.sdc;results\libero\project\designer\top\timing_analysis.sdc","SIP-2;TRN-1;RPT-2","traceable"
"hdl_revision","Microchip Libero SoC","B","HDL revision","src\top_b.v","HDL/IP Input to downstream transformation","10","12","","run_status=ok; changed_key_artifacts=10/12; examples=src\top_b.v;results\libero\project_b\synthesis\top_b_vm.sdc;results\libero\project_b\synthesis\synplify.log;results\libero\project_b\designer\top_b\place_route.sdc;results\libero\project_b\designer\top_b\timing_analysis.sdc","SIP-2;TRN-1;RPT-2","traceable"
"constraint_revision","AMD Vivado","A","constraint revision","vivado\top.xdc","Constraint and Configuration to implementation/report stages","9","11","","run_status=ok; changed_key_artifacts=9/11; examples=vivado\top.xdc;results\vivado\top_synth.dcp;results\vivado\top_routed.dcp;results\vivado\top_synth_utilization.rpt;results\vivado\top_synth_timing_summary.rpt","CFG-1;CFG-3;TRN-2;RPT-2","traceable"
"constraint_revision","AMD Vivado","B","constraint revision","vivado\top_b.xdc","Constraint and Configuration to implementation/report stages","12","14","","run_status=ok; changed_key_artifacts=12/14; examples=vivado\top_b.xdc;results\vivado\top_b_synth.dcp;results\vivado\top_b_routed.dcp;results\vivado\top_b_synth_utilization.rpt;results\vivado\top_b_synth_timing_summary.rpt","CFG-1;CFG-3;TRN-2;RPT-2","traceable"
"constraint_revision","Intel Quartus Prime Pro","A","constraint revision","quartus\top.sdc","Constraint and Configuration to implementation/report stages","7","9","","run_status=ok; changed_key_artifacts=7/9; examples=quartus\top.sdc;results\quartus\project\top.qsf;results\quartus\project\output_files\top.syn.rpt;results\quartus\project\output_files\top.fit.rpt;results\quartus\project\output_files\top.sta.rpt","CFG-1;CFG-3;TRN-2;RPT-2","traceable"
"constraint_revision","Intel Quartus Prime Pro","B","constraint revision","quartus\top_b.sdc","Constraint and Configuration to implementation/report stages","6","9","results\quartus\project_b\output_files\top_b.sof","run_status=ok; changed_key_artifacts=6/9; examples=quartus\top_b.sdc;results\quartus\project_b\top_b.qsf;results\quartus\project_b\output_files\top_b.syn.rpt;results\quartus\project_b\output_files\top_b.fit.rpt;results\quartus\project_b\output_files\top_b.sta.rpt; missing=results\quartus\project_b\output_files\top_b.sof","CFG-1;CFG-3;TRN-2;RPT-2","traceable"
"constraint_revision","Microchip Libero SoC","A","constraint revision","libero\top.sdc","Constraint and Configuration to implementation/report stages","10","12","","run_status=ok; changed_key_artifacts=10/12; examples=libero\top.sdc;results\libero\project\synthesis\top_vm.sdc;results\libero\project\synthesis\synplify.log;results\libero\project\designer\top\place_route.sdc;results\libero\project\designer\top\timing_analysis.sdc","CFG-1;CFG-3;TRN-2;RPT-2","traceable"
"constraint_revision","Microchip Libero SoC","B","constraint revision","libero\top_b.sdc","Constraint and Configuration to implementation/report stages","10","12","","run_status=ok; changed_key_artifacts=10/12; examples=libero\top_b.sdc;results\libero\project_b\synthesis\top_b_vm.sdc;results\libero\project_b\synthesis\synplify.log;results\libero\project_b\designer\top_b\place_route.sdc;results\libero\project_b\designer\top_b\timing_analysis.sdc","CFG-1;CFG-3;TRN-2;RPT-2","traceable"
